Код;Артикул;Количество;Номенклатура;Наименование полное
128729;113R00780;;Фотобарабан совместимый многоцветный стандарт(109000стр) для Xerox VersaLink C7020/C7025/C7030 совместимые партномера 113R00780;Фотобарабан совместимый многоцветный стандарт(109000стр) для Xerox VersaLink C7020/C7025/C7030 совместимые партномера 113R00780
128730;106R01080;;Картридж совместимый черный стандарт(15000стр) для Xerox Phaser 7400 совместимые партномера 106R01080;Картридж совместимый черный стандарт(15000стр) для Xerox Phaser 7400 совместимые партномера 106R01080
128741;106R01159;;Картридж универсальный совместимый черный стандарт(3000стр) для Xerox Phaser 3117/3122/3124/3125/PE220, Samsung ML1610/ML1615/ML2010/ML2015/ML2020/ML2;Картридж универсальный совместимый черный стандарт(3000стр) для Xerox Phaser 3117/3122/3124/3125/PE220, Samsung ML1610/ML1615/ML2010/ML2015/ML2020/ML2510/ML2570/ML2571/SCX4321/SCX4321/SCX4521/SCX4521 совместимые партномера ML-1610D2/ML-1610D3/ML-2010D3/SCX-4521D3/013R00621/106R01159
128775;106R01277;;Картридж совместимый черный стандарт(6300стр) для Xerox WorkCentre 5016/5020 совместимые прртномера;Картридж совместимый черный стандарт(6300стр) для Xerox WorkCentre 5016/5020 совместимые партномера 106R01277/FP-X5016
128815;106R01371;;Картридж совместимый черный повышенный(14000стр) для Xerox Phaser 3600 совместимые партномера 106R01371;Картридж совместимый черный повышенный(14000стр) для Xerox Phaser 3600 совместимые партномера 106R01371
128822;106R01374;;Картридж совместимый черный повышенный(5000стр) для Xerox Phaser 3250 совместимые партномера 106R01374;Картридж совместимый черный повышенный(5000стр) для Xerox Phaser 3250 совместимые партномера 106R01374
128825;106R01379;;Картридж совместимый черный повышенный(6000стр) для Xerox Phaser 3100 совместимые партномера 106R01379;Картридж совместимый черный повышенный(6000стр) для Xerox Phaser 3100 совместимые партномера 106R01379
128844;106R01412;;Картридж совместимый черный повышенный(8000стр) для Xerox Phaser 3300 совместимые партномера 106R01412;Картридж совместимый черный повышенный(8000стр) для Xerox Phaser 3300 совместимые партномера 106R01412
128850;106R01415;;Картридж совместимый черный повышенный(10000стр) для Xerox Phaser 3435 совместимые партномера 106R01415;Картридж совместимый черный повышенный(10000стр) для Xerox Phaser 3435 совместимые партномера 106R01415
128890;106R01487;;Картридж совместимый черный повышенный(4100стр) для Xerox WorkCentre 3210/3220 совместимые партномера 106R01486/106R01487;Картридж совместимый черный повышенный(4100стр) для Xerox WorkCentre 3210/3220 совместимые партномера 106R01486/106R01487
128897;106R01531;;Картридж совместимый черный повышенный(11000стр) для Xerox WorkCentre 3550 совместимые партномера 106R01531;Картридж совместимый черный повышенный(11000стр) для Xerox WorkCentre 3550 совместимые партномера 106R01531
128916;106R01601;;Картридж совместимый голубой повышенный(2500стр) для Xerox Phaser 6500, WorkCentre 6505 совместимые партномера 106R01601;Картридж совместимый голубой повышенный(2500стр) для Xerox Phaser 6500, WorkCentre 6505 совместимые партномера 106R01601
128917;106R01602;;Картридж совместимый пурпурный повышенный(2500стр) для Xerox Phaser 6500, WorkCentre 6505 совместимые партномера 106R01602;Картридж совместимый пурпурный повышенный(2500стр) для Xerox Phaser 6500, WorkCentre 6505 совместимые партномера 106R01602
128918;106R01603;;Картридж совместимый жёлтый повышенный(2500стр) для Xerox Phaser 6500, WorkCentre 6505 совместимые партномера 106R01596/106R01603;Картридж совместимый жёлтый повышенный(2500стр) для Xerox Phaser 6500, WorkCentre 6505 совместимые партномера 106R01596/106R01603
128919;106R01604;;Картридж совместимый черный стандарт(3000стр) для Xerox Phaser 6500, WorkCentre 6505 совместимые партномера 106R01604;Картридж совместимый черный стандарт(3000стр) для Xerox Phaser 6500, WorkCentre 6505 совместимые партномера 106R01604
128945;106R02183;;Картридж совместимый черный повышенный(2300стр) для Xerox Phaser 3010/3040, WorkCentre 3045 совместимые партномера 106R02183;Картридж совместимый черный повышенный(2300стр) для Xerox Phaser 3010/3040, WorkCentre 3045 совместимые партномера 106R02183
128964;106R02306;;Картридж совместимый черный повышенный(11000стр) для Xerox Phaser 3320 совместимые партномера 106R02306;Картридж совместимый черный повышенный(11000стр) для Xerox Phaser 3320 совместимые партномера 106R02306
128968;106R02310;;Картридж совместимый черный повышенный(5000стр) для Xerox WorkCentre 3315/3325 совместимые партномера 106R02310;Картридж совместимый черный повышенный(5000стр) для Xerox WorkCentre 3315/3325 совместимые партномера 106R02310
